input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
construction company in alabama,https://www.google.com/maps?cid=1380725856720435640,South Alabama Construction,Construction company,"1700 Wicksburg Rd, Newton, AL 36352",null,null,southalabamaconstruction.com/?utm_source=gmb&utm_medium=organic,(334) 400-6004,,0,4.800000,null,31.227535,-85.641540,1380725856720435640,,,https://search.google.com/local/reviews?placeid=ChIJc8dhUGNhkogRuLkE7tlSKRM&authuser=0&hl=en&gl=US,,,,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,southalabamaconstruction@gmail.com
construction company in alabama,https://www.google.com/maps?cid=11309810384457253891,Rives Construction Company Inc.,Construction company,"5200 Grantswood Rd, Birmingham, AL 35210",null,null,rives.com/,(205) 443-5000,,0,4.600000,null,33.532707,-86.651530,11309810384457253891,,,https://search.google.com/local/reviews?placeid=ChIJk_Nz-C0SiYgRA0SZap-E9Jw&authuser=0&hl=en&gl=US,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g-V9bGQGYkTXXQ4EfL3hbg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=292.12503&pitch=0&thumbfov=100,,,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
construction company in alabama,https://www.google.com/maps?cid=4196892518516683957,"Russell Construction of Alabama, Inc.",Construction company,"6101 Brewbaker Blvd, Montgomery, AL 36116",null,null,russellala.com/,(334) 215-1617,,0,4.300000,null,32.310664,-86.213831,4196892518516683957,,,https://search.google.com/local/reviews?placeid=ChIJewfHNZeBjogRtXSuboJbPjo&authuser=0&hl=en&gl=US,,,,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,"info@russellala.com, jjames@russellala.com"
construction company in alabama,https://www.google.com/maps?cid=3636932721880403348,"Caddell Construction Co. (DE), LLC",General contractor,"445 Dexter Ave Suite 11000, Montgomery, AL 36104",null,null,www.caddell.com/,(334) 272-7723,,0,4.400000,null,32.378388,-86.302966,3636932721880403348,,,https://search.google.com/local/reviews?placeid=ChIJ0Ryebo8pjIgRlA2tjwr7eDI&authuser=0&hl=en&gl=US,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wJk8aQDWS_zKtIAQswBIWw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=270.95547&pitch=0&thumbfov=100,,,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
construction company in alabama,https://www.google.com/maps?cid=1088186986754566415,Roy Lewis Construction Corporation,Construction company,"1266 Hutson Dr, Mobile, AL 36609",null,null,www.roylewisconstruction.com/,(251) 380-0000,,0,5.000000,null,30.664298,-88.130981,1088186986754566415,,,https://search.google.com/local/reviews?placeid=ChIJMwsEkBBLmogRD2m1ikwEGg8&authuser=0&hl=en&gl=US,,,,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,paul@roylewisconstruction.com
construction company in alabama,https://www.google.com/maps?cid=9572981011071503545,"Alabama Construction Pros, LLC",Construction company,"4144 Carmichael Rd, Montgomery, AL 36106",null,null,alabamaconstructionpros.com/,(334) 310-8455,,0,5.000000,null,32.357624,-86.238913,9572981011071503545,,,https://search.google.com/local/reviews?placeid=ChIJD27ZFeQrjIgRuQx6foIP2oQ&authuser=0&hl=en&gl=US,,,,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
construction company in alabama,https://www.google.com/maps?cid=8023755924248736953,Dunn Construction Company,Construction company,"39th St N, Birmingham, AL 35222",null,null,www.dunnconstruction.com/,(205) 787-3314,,0,4.700000,null,33.532892,-86.778896,8023755924248736953,,,https://search.google.com/local/reviews?placeid=ChIJKzFFSZMbiYgRuTRIXYAbWm8&authuser=0&hl=en&gl=US,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8aVTEuA8_V9VikelWNB9Qg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=63.962437&pitch=0&thumbfov=100,,,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
construction company in alabama,https://www.google.com/maps?cid=5558890585914376271,Doster Construction Company,General contractor,"2100 International Park Dr, Birmingham, AL 35243",null,null,www.dosterconstruction.com/,(205) 443-3800,,0,4.700000,null,33.411354,-86.757082,5558890585914376271,,,https://search.google.com/local/reviews?placeid=ChIJn9GS3hMYiYgRT4CwHoklJU0&authuser=0&hl=en&gl=US,,,,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
construction company in alabama,https://www.google.com/maps?cid=2128086443582525675,White-Spunner Construction,Construction company,"2010 West Interstate 65 Service Rd S, Mobile, AL 36693",null,null,white-spunner.com/,(800) 471-5189,,0,4.500000,null,30.647501,-88.121407,2128086443582525675,,,https://search.google.com/local/reviews?placeid=ChIJD1Bm16tNmogR65APaVh7iB0&authuser=0&hl=en&gl=US,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LqaEPPQeppPuPESVniquCQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=236.73573&pitch=0&thumbfov=100,,,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
construction company in alabama,https://www.google.com/maps?cid=14871170825085384637,"Lisenby Construction, Inc.",Remodeler,"2945 Chestnut St, Montgomery, AL 36107",null,null,lisenbyconstruction.com/?utm_source=NEXT&utm_medium=Google_website,(334) 265-1997,,0,4.600000,null,32.367760,-86.267853,14871170825085384637,,,https://search.google.com/local/reviews?placeid=ChIJL3DE7cKBjogRvfddFxMDYc4&authuser=0&hl=en&gl=US,,,,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,info@lisenbyconstruction.com
construction company in alabama,https://www.google.com/maps?cid=6466330299685587807,Saiia Construction Company,Construction company,"4400 Lewisburg Rd, Birmingham, AL 35207",null,null,www.saiia.com/,(205) 290-0400,,0,3.800000,null,33.570953,-86.815570,6466330299685587807,,,https://search.google.com/local/reviews?placeid=ChIJodHpNSYfiYgRX8sawSUFvVk&authuser=0&hl=en&gl=US,,,,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
construction company in alabama,https://www.google.com/maps?cid=5403703569148939515,Alabama AGC,Construction company,"5000 Grantswood Rd #100, Irondale, AL 35210",null,null,www.alagc.org/,(205) 451-1400,,0,4.800000,null,33.529704,-86.657009,5403703569148939515,,,https://search.google.com/local/reviews?placeid=ChIJm0EvbCsSiYgR-wyiHsTP_Uo&authuser=0&hl=en&gl=US,,,,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,admin@alagc.org
construction company in alabama,https://www.google.com/maps?cid=6219169324878420197,Wildcat Construction,Construction company,"10508 US-280, Westover, AL 35147",null,null,wildcatbuilds.com/,(205) 618-9192,,0,4.800000,null,33.353770,-86.524546,6219169324878420197,,,https://search.google.com/local/reviews?placeid=ChIJuXcvAC-ARKUR5Vhi54ztTlY&authuser=0&hl=en&gl=US,,,,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,info@wildcatbuilds.com
construction company in alabama,https://www.google.com/maps?cid=1613326345932359944,Murray Construction,Construction company,"1900 28th Ave S Ste 100, Birmingham, AL 35209",null,null,murray.construction/,(205) 802-3917,,0,4.900000,null,33.481552,-86.789275,1613326345932359944,,,https://search.google.com/local/reviews?placeid=ChIJ54af32QZiYgRCMkTjMOvYxY&authuser=0&hl=en&gl=US,,,,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,build@murray.construction
