input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
323e2a40-f4e3-4848-97ac-f8975b62ded5,https://www.google.com/maps/place/The+Build+Centre+%26+Supply-+Nigeria/data=!4m7!3m6!1s0x103b9224e4a0f3db:0x1ae1651aa31f6608!8m2!3d6.597654!4d3.3472833!16s%2Fg%2F1pp2vbzrr!19sChIJ2_Og5CSSOxARCGYfoxpl4Ro?authuser=0&hl=en&rclk=1,The Build Centre & Supply- Nigeria,Building materials store,"21 Mojidi St, Allen, Ikeja 101233, Lagos","{""Friday"":[""8 am–6 pm""],""Monday"":[""8 am–6 pm""],""Saturday"":[""8 am–6 pm""],""Sunday"":[""Closed""],""Thursday"":[""8 am–6 pm""],""Tuesday"":[""8 am–6 pm""],""Wednesday"":[""8 am–6 pm""]}",{},http://www.thebuildcentreandsupply.com/,0704 974 4444,H8XW+3W Ikeja,0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",6.597654,3.347283,1936940479826322952,,,,https://lh3.googleusercontent.com/p/AF1QipMe8xOsf6STFwv0Via0dg8nUTBZCn2gF3u5q4e1=w408-h469-k-no,Africa/Lagos,,0x103b9224e4a0f3db:0x1ae1651aa31f6608,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/p/AF1QipMe8xOsf6STFwv0Via0dg8nUTBZCn2gF3u5q4e1=w258-h298-k-no""},{""title"":""Inside"",""image"":""https://lh3.googleusercontent.com/p/AF1QipM8hvw2U4ePb6IYspiii4tfzFxoKNJXjWM_wFef=w224-h398-k-no""},{""title"":""Videos"",""image"":""https://lh3.googleusercontent.com/p/AF1QipN5YyqApH5CN1jtDzh_KXk7E2FW8MkwPY5J-I2g=w224-h398-k-no""},{""title"":""By owner"",""image"":""https://lh3.googleusercontent.com/p/AF1QipN5YyqApH5CN1jtDzh_KXk7E2FW8MkwPY5J-I2g=w224-h398-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mnYHMTAfA3EgmaTyIPq6CQ\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=83.99111\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""101385033293406717266"",""name"":""The Build Centre \u0026 Supply- Nigeria (Owner)"",""link"":""https://www.google.com/maps/contrib/101385033293406717266""}","{""borough"":""Allen"",""street"":""21 Mojidi St"",""city"":""Ikeja"",""postal_code"":"""",""state"":""Lagos"",""country"":""NG""}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Delivery"",""enabled"":true},{""name"":""In-store pick-up"",""enabled"":true}]},{""id"":""planning"",""name"":""Planning"",""options"":[{""name"":""Quick visit"",""enabled"":true}]},{""id"":""payments"",""name"":""Payments"",""options"":[{""name"":""Credit cards"",""enabled"":true},{""name"":""Debit cards"",""enabled"":true}]}]",[],null,
323e2a40-f4e3-4848-97ac-f8975b62ded5,https://www.google.com/maps/place/BUILDERS%27+HUB/data=!4m7!3m6!1s0x103b8d61342a78f5:0x252ab3672c58a9ab!8m2!3d6.5617192!4d3.3958131!16s%2Fg%2F11c0rvrq96!19sChIJ9XgqNGGNOxARq6lYLGezKiU?authuser=0&hl=en&rclk=1,BUILDERS' HUB,Building materials store,"1 Onabule Street, Ifako Bus Stop, Oworo-Ogudu Express Way Oworo Road, Kosofe, Oworonshoki","{""Friday"":[""9 am–4 pm""],""Monday"":[""9 am–4 pm""],""Saturday"":[""9 am–4 pm""],""Sunday"":[""Closed""],""Thursday"":[""9 am–4 pm""],""Tuesday"":[""9 am–4 pm""],""Wednesday"":[""9 am–4 pm""]}",{},,0907 301 6307,H96W+M8 Oworonshoki,74,4.300000,"{""1"":3,""2"":0,""3"":9,""4"":19,""5"":43}",6.561719,3.395813,2678150184132192683,,,,https://lh3.googleusercontent.com/p/AF1QipMGT2X-DMaMDbyZwgaO1ssuJUzMQj1JHJntPghu=w408-h272-k-no,Africa/Lagos,,0x103b8d61342a78f5:0x252ab3672c58a9ab,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/p/AF1QipMGT2X-DMaMDbyZwgaO1ssuJUzMQj1JHJntPghu=w447-h298-k-no""},{""title"":""Inside"",""image"":""https://lh3.googleusercontent.com/p/AF1QipPMHYn-hmca24ud2jOta0lhcoY7VGmSuoNhh76H=w298-h298-k-no""},{""title"":""Videos"",""image"":""https://lh3.googleusercontent.com/p/AF1QipNN8oWT69HXn3vYFBIHXgsZ0tHcPMzvkJosGPzC=w529-h298-k-no""},{""title"":""By owner"",""image"":""https://lh3.googleusercontent.com/p/AF1QipNN8oWT69HXn3vYFBIHXgsZ0tHcPMzvkJosGPzC=w529-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NK-RKiDVJUjsY5B1M7elRA\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=160.9985\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""115922375212080175002"",""name"":""BUILDERS' HUB (Owner)"",""link"":""https://www.google.com/maps/contrib/115922375212080175002""}","{""borough"":""Kosofe"",""street"":""1 Onabule Street, Ifako Bus Stop, Oworo-Ogudu Express Way Oworo Road"",""city"":""Oworonshoki"",""postal_code"":"""",""state"":""Lagos"",""country"":""NG""}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Delivery"",""enabled"":true},{""name"":""In-store pick-up"",""enabled"":true}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]},{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Wi-Fi"",""enabled"":true},{""name"":""Wi-Fi"",""enabled"":false}]},{""id"":""planning"",""name"":""Planning"",""options"":[{""name"":""Quick visit"",""enabled"":true}]},{""id"":""payments"",""name"":""Payments"",""options"":[{""name"":""Cheques"",""enabled"":true},{""name"":""Debit cards"",""enabled"":true},{""name"":""NFC mobile payments"",""enabled"":true},{""name"":""Credit cards"",""enabled"":false}]}]",[],null,
323e2a40-f4e3-4848-97ac-f8975b62ded5,https://www.google.com/maps/place/Bd+Building+Construction+Limited/data=!4m7!3m6!1s0x103b93f64ce8db49:0x8b51bb97c3dc8209!8m2!3d6.603243!4d3.346731!16s%2Fg%2F11jhtwz1w8!19sChIJSdvoTPaTOxARCYLcw5e7UYs?authuser=0&hl=en&rclk=1,Bd Building Construction Limited,Parking garage,"10 Balogun St, Eti-Osa, Lagos 101233, Lagos","{""Friday"":[""9 am–4 pm""],""Monday"":[""9 am–4 pm""],""Saturday"":[""9 am–4 pm""],""Sunday"":[""Closed""],""Thursday"":[""9 am–4 pm""],""Tuesday"":[""9 am–4 pm""],""Wednesday"":[""9 am–4 pm""]}",{},,,J83W+7M Lagos,0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",6.603243,3.346731,10039011304886010377,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IOI7flIuQSuakhY29kbObw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=77.32594&pitch=0&thumbfov=100,Africa/Lagos,,0x103b93f64ce8db49:0x8b51bb97c3dc8209,"[{""title"":""All"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IOI7flIuQSuakhY29kbObw\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=77.32594\u0026pitch=0\u0026thumbfov=100""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IOI7flIuQSuakhY29kbObw\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=77.32594\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""103159892310169002593"",""name"":""Bd Building Construction Limited (Owner)"",""link"":""https://www.google.com/maps/contrib/103159892310169002593""}","{""borough"":""Eti-Osa"",""street"":""10 Balogun St"",""city"":""Lagos"",""postal_code"":"""",""state"":""Lagos"",""country"":""NG""}",null,[],null,
323e2a40-f4e3-4848-97ac-f8975b62ded5,https://www.google.com/maps/place/AlejoLowo+60+Building+Supply+Service/data=!4m7!3m6!1s0x10394fa661e9dad3:0xcab7f329e5c2d40b!8m2!3d6.5600656!4d3.9377364!16s%2Fg%2F11kqh_vv_m!19sChIJ09rpYaZPORARC9TC5Snzt8o?authuser=0&hl=en&rclk=1,AlejoLowo 60 Building Supply Service,Building materials supplier,"Lekki Epe Expressway Epe, Lagos 106101, Lagos",{},{},,0812 657 6267,,1,3.000000,"{""1"":0,""2"":0,""3"":1,""4"":0,""5"":0}",6.560066,3.937736,14607411277673452555,,,,https://lh3.googleusercontent.com/p/AF1QipOpIaE-0pqjwo7888MA40Nt3wL_p6Cid07iMiYM=w408-h544-k-no,Africa/Lagos,,0x10394fa661e9dad3:0xcab7f329e5c2d40b,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/p/AF1QipOpIaE-0pqjwo7888MA40Nt3wL_p6Cid07iMiYM=w224-h298-k-no""},{""title"":""By owner"",""image"":""https://lh3.googleusercontent.com/p/AF1QipO5tUHMBu9itgipbnzD-LTZkl0vs79JHRHbnTij=w397-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pfjhn3THjAD5ireVsS6BIA\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=117.70836\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""106282805914697011695"",""name"":""AlejoLowo 60 Building Supply Service (Owner)"",""link"":""https://www.google.com/maps/contrib/106282805914697011695""}","{""borough"":"""",""street"":""Lekki Epe Expressway Epe"",""city"":""Lagos"",""postal_code"":""106101"",""state"":""Lagos"",""country"":""NG""}","[{""id"":""payments"",""name"":""Payments"",""options"":[{""name"":""Debit cards"",""enabled"":true}]}]",[],null,
323e2a40-f4e3-4848-97ac-f8975b62ded5,https://www.google.com/maps/place/Building/data=!4m7!3m6!1s0x103b91d3a4f153b7:0xe8d5d6b5a5ad086b!8m2!3d6.6425876!4d3.3226765!16s%2Fg%2F11sqw27j5t!19sChIJt1PxpNOROxARawitpbXW1eg?authuser=0&hl=en&rclk=1,Building,Contractor,"43 Pa Alao Street,Aina,B/Stop,Off Iju Road,By Skye Bank, Iju Ishaga Rd, Lagos","{""Friday"":[""9 am–6 pm""],""Monday"":[""9 am–6 pm""],""Saturday"":[""9 am–6 pm""],""Sunday"":[""Closed""],""Thursday"":[""9 am–6 pm""],""Tuesday"":[""9 am–6 pm""],""Wednesday"":[""9 am–6 pm""]}",{},,0708 540 9275,J8VF+23 Lagos,1,5.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":1}",6.642588,3.322677,16777552062495656043,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-iri0WZze369Qzl521EeeA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=269.2266&pitch=0&thumbfov=100,Africa/Lagos,,0x103b91d3a4f153b7:0xe8d5d6b5a5ad086b,"[{""title"":""All"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-iri0WZze369Qzl521EeeA\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=269.2266\u0026pitch=0\u0026thumbfov=100""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-iri0WZze369Qzl521EeeA\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=269.2266\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""100387579199942807538"",""name"":""Building (Owner)"",""link"":""https://www.google.com/maps/contrib/100387579199942807538""}","{""borough"":""Ifako Agege"",""street"":""43 Pa Alao Street,Aina,B/Stop,Off Iju Road,By Skye Bank, Iju Ishaga Rd"",""city"":""Lagos"",""postal_code"":"""",""state"":""Lagos"",""country"":""NG""}",null,[],null,
323e2a40-f4e3-4848-97ac-f8975b62ded5,https://www.google.com/maps/place/Main+Building/data=!4m7!3m6!1s0x103b85a60cd7757d:0xb82524c4ed9eb7c9!8m2!3d6.4998197!4d3.25137!16s%2Fg%2F11h2fl43n7!19sChIJfXXXDKaFOxARybee7cQkJbg?authuser=0&hl=en&rclk=1,Main Building,Home builder,"F7X2+WGH Main Building, Oke Agaye, Ije Ododo, Ikotun, Ijegun, Lagos",{},{},,,,2,3.500000,"{""1"":0,""2"":0,""3"":1,""4"":1,""5"":0}",6.499820,3.251370,13269052305335826377,,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzMeJ0n2mtlpzoxa8QLPJBVCrhGt_bNBJrOG_FPq5AR-OpAjrgmhMR50Bpy0IZzvraAL-LWwums_l6igxd6K-4HhxcPUpXamUZFygnVa3sqUPgWG-k2QdHQYFfeou4uvXQcP9jg=w408-h725-k-no,Africa/Lagos,,0x103b85a60cd7757d:0xb82524c4ed9eb7c9,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzMeJ0n2mtlpzoxa8QLPJBVCrhGt_bNBJrOG_FPq5AR-OpAjrgmhMR50Bpy0IZzvraAL-LWwums_l6igxd6K-4HhxcPUpXamUZFygnVa3sqUPgWG-k2QdHQYFfeou4uvXQcP9jg=w224-h398-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=q1XHnwfp-uXj89LgSx9ibA\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=9.973868\u0026pitch=0\u0026thumbfov=100""},{""title"":""Videos"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxMuKaMmycvUW-vKdiAUd_DMBw9ps7qRw4OKbeefwgnP61k7pUAyoQ94pjmXXCakPuBrPTCZxLkRIqVjD-CcQxsXh5WYnpTQmJX29moI9NQrwM3IYnn4TmXeilNfBEYcXig3yCl=w224-h398-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Main Building (Owner)"",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,[],null,
323e2a40-f4e3-4848-97ac-f8975b62ded5,https://www.google.com/maps/place/Building+construction+and+properties+%26+materials+supplies/data=!4m7!3m6!1s0x103b935e35407cdb:0xc6f7a513139fac3e!8m2!3d6.5906573!4d3.3936175!16s%2Fg%2F11p15p11q2!19sChIJ23xANV6TOxARPqyfExOl98Y?authuser=0&hl=en&rclk=1,Building construction and properties & materials supplies,Building materials store,"H9RV+7C9 Building construction and properties & materials supplies, Lagos, Bakare St, Ketu, Ikosi 100244","{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}","{""Friday"":{""0"":21,""1"":35,""10"":42,""11"":71,""12"":35,""13"":42,""14"":50,""15"":71,""16"":50,""17"":35,""18"":35,""19"":57,""2"":42,""20"":57,""21"":42,""22"":28,""23"":35,""3"":42,""4"":57,""5"":50,""6"":50,""7"":50,""8"":42,""9"":50},""Monday"":{""0"":28,""1"":57,""10"":21,""11"":28,""12"":21,""13"":14,""14"":35,""15"":28,""16"":14,""17"":7,""18"":14,""19"":42,""2"":50,""20"":28,""21"":21,""22"":14,""23"":21,""3"":71,""4"":71,""5"":85,""6"":85,""7"":64,""8"":28,""9"":14},""Saturday"":{""0"":50,""1"":64,""10"":42,""11"":28,""12"":14,""13"":0,""14"":14,""15"":21,""16"":21,""17"":14,""18"":14,""19"":28,""2"":42,""20"":42,""21"":42,""22"":28,""23"":50,""3"":35,""4"":35,""5"":21,""6"":21,""7"":42,""8"":42,""9"":50},""Sunday"":{""0"":42,""1"":35,""10"":71,""11"":42,""12"":35,""13"":28,""14"":28,""15"":21,""16"":14,""17"":21,""18"":35,""19"":57,""2"":28,""20"":64,""21"":71,""22"":57,""23"":35,""3"":28,""4"":42,""5"":50,""6"":64,""7"":64,""8"":100,""9"":78},""Thursday"":{""0"":100,""1"":71,""10"":0,""11"":14,""12"":21,""13"":28,""14"":42,""15"":50,""16"":50,""17"":35,""18"":42,""19"":71,""2"":50,""20"":42,""21"":42,""22"":42,""23"":71,""3"":42,""4"":42,""5"":71,""6"":71,""7"":78,""8"":42,""9"":14},""Tuesday"":{""0"":28,""1"":50,""10"":50,""11"":71,""12"":57,""13"":57,""14"":50,""15"":57,""16"":42,""17"":50,""18"":50,""19"":64,""2"":57,""20"":42,""21"":35,""22"":21,""23"":35,""3"":42,""4"":42,""5"":35,""6"":28,""7"":35,""8"":50,""9"":57},""Wednesday"":{""0"":0,""1"":14,""10"":78,""11"":71,""12"":71,""13"":57,""14"":42,""15"":50,""16"":42,""17"":57,""18"":64,""19"":57,""2"":14,""20"":28,""21"":28,""22"":14,""23"":7,""3"":21,""4"":42,""5"":71,""6"":50,""7"":28,""8"":42,""9"":50}}",,0704 863 8883,,0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",6.590657,3.393617,14337109440109456446,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QdUzvsQWk1qe4MDl76ZYqQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=5.688175&pitch=0&thumbfov=100,Africa/Lagos,,0x103b935e35407cdb:0xc6f7a513139fac3e,"[{""title"":""All"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QdUzvsQWk1qe4MDl76ZYqQ\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=5.688175\u0026pitch=0\u0026thumbfov=100""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QdUzvsQWk1qe4MDl76ZYqQ\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=5.688175\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Building construction and properties \u0026 materials supplies (Owner)"",""link"":""""}","{""borough"":""Ketu"",""street"":""H9RV+7C9, Lagos, Bakare St"",""city"":""Ikosi"",""postal_code"":""100244"",""state"":""Lagos"",""country"":""NG""}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Delivery"",""enabled"":true}]},{""id"":""planning"",""name"":""Planning"",""options"":[{""name"":""Quick visit"",""enabled"":true}]},{""id"":""payments"",""name"":""Payments"",""options"":[{""name"":""Debit cards"",""enabled"":true}]}]",[],null,
323e2a40-f4e3-4848-97ac-f8975b62ded5,https://www.google.com/maps/place/Building+Construction+Partnership/data=!4m7!3m6!1s0x103bff045da93f43:0xb8ad0871eef8ea67!8m2!3d6.4629721!4d3.7348918!16s%2Fg%2F11m770yd01!19sChIJQz-pXQT_OxARZ-r47nEIrbg?authuser=0&hl=en&rclk=1,Building Construction Partnership,Real estate developer,"glomart, 14 ABU OLAWALE CL, Adeba Rd, lagos 100011, Lagos",{},{},,0818 047 6066,FP7M+5X Awoyaya,0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",6.462972,3.734892,13307301759383300711,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2if2lflHol4UPNAlwUCrnA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=100.1469&pitch=0&thumbfov=100,Africa/Lagos,,0x103bff045da93f43:0xb8ad0871eef8ea67,"[{""title"":""All"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2if2lflHol4UPNAlwUCrnA\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=100.1469\u0026pitch=0\u0026thumbfov=100""},{""title"":""By owner"",""image"":""https://lh3.googleusercontent.com/p/AF1QipPMBL98WGQTgkoG2gZ_qsts_I6THL9ZpPyrDYGk=w229-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2if2lflHol4UPNAlwUCrnA\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=100.1469\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""102783408470504087187"",""name"":""Building Construction Partnership (Owner)"",""link"":""https://www.google.com/maps/contrib/102783408470504087187""}","{""borough"":"""",""street"":""glomart, 14 ABU OLAWALE CL, Adeba Rd"",""city"":""lagos"",""postal_code"":""100011"",""state"":""Lagos"",""country"":""NG""}",null,[],null,
323e2a40-f4e3-4848-97ac-f8975b62ded5,https://www.google.com/maps/place/JacHammer+DRoof+Master/data=!4m7!3m6!1s0x103b93db7ab90231:0xc06aa5cdeddc23d7!8m2!3d6.5977861!4d3.3471212!16s%2Fg%2F11pc9mmyd0!19sChIJMQK5etuTOxAR1yPc7c2lasA?authuser=0&hl=en&rclk=1,JacHammer DRoof Master,Equipment supplier,"18 Mojidi St, off Toyin Street, Olowu, Ikeja 100281, Lagos",{},"{""Friday"":{""0"":42,""1"":50,""10"":21,""11"":14,""12"":21,""13"":35,""14"":35,""15"":50,""16"":35,""17"":35,""18"":14,""19"":28,""2"":64,""20"":42,""21"":50,""22"":42,""23"":35,""3"":64,""4"":50,""5"":28,""6"":14,""7"":14,""8"":28,""9"":28},""Monday"":{""0"":35,""1"":42,""10"":35,""11"":28,""12"":14,""13"":21,""14"":21,""15"":14,""16"":21,""17"":35,""18"":28,""19"":42,""2"":78,""20"":50,""21"":57,""22"":35,""23"":35,""3"":64,""4"":57,""5"":42,""6"":35,""7"":50,""8"":35,""9"":42},""Saturday"":{""0"":64,""1"":42,""10"":35,""11"":14,""12"":0,""13"":0,""14"":7,""15"":21,""16"":35,""17"":28,""18"":21,""19"":28,""2"":57,""20"":21,""21"":7,""22"":14,""23"":42,""3"":42,""4"":42,""5"":28,""6"":21,""7"":21,""8"":28,""9"":50},""Sunday"":{""0"":50,""1"":50,""10"":100,""11"":85,""12"":100,""13"":78,""14"":50,""15"":21,""16"":21,""17"":42,""18"":50,""19"":50,""2"":14,""20"":35,""21"":35,""22"":21,""23"":42,""3"":21,""4"":28,""5"":57,""6"":71,""7"":42,""8"":35,""9"":42},""Thursday"":{""0"":28,""1"":28,""10"":28,""11"":28,""12"":21,""13"":14,""14"":21,""15"":35,""16"":64,""17"":57,""18"":71,""19"":64,""2"":28,""20"":50,""21"":21,""22"":14,""23"":14,""3"":42,""4"":50,""5"":50,""6"":35,""7"":21,""8"":14,""9"":28},""Tuesday"":{""0"":50,""1"":28,""10"":64,""11"":64,""12"":57,""13"":64,""14"":71,""15"":78,""16"":78,""17"":57,""18"":78,""19"":57,""2"":28,""20"":64,""21"":35,""22"":64,""23"":57,""3"":21,""4"":21,""5"":21,""6"":28,""7"":14,""8"":21,""9"":35},""Wednesday"":{""0"":57,""1"":50,""10"":21,""11"":21,""12"":21,""13"":21,""14"":21,""15"":28,""16"":42,""17"":35,""18"":35,""19"":21,""2"":42,""20"":28,""21"":35,""22"":50,""23"":57,""3"":50,""4"":42,""5"":57,""6"":50,""7"":57,""8"":35,""9"":50}}",,0902 002 5135,H8XW+4R Ikeja,0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",6.597786,3.347121,13865076706690999255,,,,https://lh3.googleusercontent.com/p/AF1QipNZ5IJUEfAB3znthJ0AvONkV6MY7dVOwM4Rk3ry=w408-h264-k-no,Africa/Lagos,,0x103b93db7ab90231:0xc06aa5cdeddc23d7,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/p/AF1QipNZ5IJUEfAB3znthJ0AvONkV6MY7dVOwM4Rk3ry=w459-h298-k-no""},{""title"":""By owner"",""image"":""https://lh3.googleusercontent.com/p/AF1QipNhKS8xD2BDgZvXA3hx9SMvb2kNlecXThwVfK3S=w298-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lz1U-WGewUmoiXklM8kLaQ\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=285.64713\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""110515296000559852811"",""name"":""JacHammer DRoof Master (Owner)"",""link"":""https://www.google.com/maps/contrib/110515296000559852811""}","{""borough"":""Olowu"",""street"":""18 Mojidi St, off Toyin Street"",""city"":""Ikeja"",""postal_code"":""100281"",""state"":""Lagos"",""country"":""NG""}",null,[],null,
323e2a40-f4e3-4848-97ac-f8975b62ded5,https://www.google.com/maps/place/Edifice+Building+Services/data=!4m7!3m6!1s0x103b93fec960b271:0xb4e52d9dbb81e79e!8m2!3d6.59375!4d3.3432536!16s%2Fg%2F11p_72pbc0!19sChIJcbJgyf6TOxARnueBu50t5bQ?authuser=0&hl=en&rclk=1,Edifice Building Services,Construction company,"1ST FLOOR SUITE 201, Edifice Building Services, IFEDARA PLAZA, 77B Mobolaji Bank Anthony Way, Opebi, Lagos 101233, Lagos","{""Friday"":[""9 am–6 pm""],""Monday"":[""9 am–6 pm""],""Saturday"":[""9 am–6 pm""],""Sunday"":[""Closed""],""Thursday"":[""9 am–6 pm""],""Tuesday"":[""9 am–6 pm""],""Wednesday"":[""9 am–6 pm""]}",{},,0802 635 1677,H8VV+F8 Lagos,0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",6.593750,3.343254,13034874851972736926,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hsjISdFl6LRTL8lj-p3f1g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=324.71475&pitch=0&thumbfov=100,Africa/Lagos,,0x103b93fec960b271:0xb4e52d9dbb81e79e,"[{""title"":""All"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hsjISdFl6LRTL8lj-p3f1g\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=324.71475\u0026pitch=0\u0026thumbfov=100""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hsjISdFl6LRTL8lj-p3f1g\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=324.71475\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""114785591287882341273"",""name"":""Edifice Building Services (Owner)"",""link"":""https://www.google.com/maps/contrib/114785591287882341273""}","{""borough"":""Opebi"",""street"":""1ST FLOOR SUITE 201, IFEDARA PLAZA, 77B Mobolaji Bank Anthony Way"",""city"":""Lagos"",""postal_code"":"""",""state"":""Lagos"",""country"":""NG""}",null,[],null,
